IRALCFY,IRALCAGE,SCHFELT,TCHGJOB,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,YOFIGHT2,YOSTOLE2,PRALDLY2,YFLADLY2,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,DRPRVME3,ANYEDUC3,EDUSKPCOM,INCOME,GOVTPROG,POVERTY3
991,991,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,0,3,2,2
6,13,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,99,4,2,3
104,11,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,0,3,2,3
25,11,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,1,1,1
991,991,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,0,1,1,1
991,991,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,0,4,2,3
991,991,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,0,2,1,2
991,991,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,99,4,2,3
3,16,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,0,2,1,3
991,991,1,1,1,1,1,NA,1,2,2,1,1,2,2,2,2,1,2,0,2,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,99,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,2,2,2
991,991,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,0,4,2,3
991,991,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,0,2,2,3
